City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
406,rocha,-34.4833,-54.3333,30.6,39,33,7.15,UY,1707156989
407,iwanai,42.9744,140.5089,-9.95,91,26,2.29,JP,1707157063
408,christchurch,-43.5333,172.6333,19.67,55,100,1.03,NZ,1707156903
409,schwerin,53.6294,11.4132,7.79,97,100,10.28,DE,1707156902
410,fort st. john,56.2499,-120.8529,-11.06,85,75,2.06,CA,1707157064
411,pavlovsk,50.4578,40.1081,-1.15,94,92,3.02,RU,1707157064
412,elliot,-31.3333,27.85,17.2,81,50,1.75,ZA,1707157064
413,nyurba,63.2842,118.3319,-30.4,100,76,0.72,RU,1707157065
414,el vigia,8.6219,-71.6506,32.2,59,80,1.35,VE,1707157065
415,antalaha,-14.9003,50.2788,25.42,89,90,2.49,MG,1707157065
416,puerto leguizamo,-0.1934,-74.7819,22.59,99,100,1.47,CO,1707157065
